attack,length,anchor_len,weight_preset,decoder,n,mean_hit_rate,mean_ber,exact_rate,crc_pass_rate
delete15,50,6,default,syncmark_alignment,19,0.5789473684210527,0.42105263157894735,0.0,0.0
delete15,50,6,default,syncmark_position_vote,19,0.4901315789473684,0.5098684210526316,0.0,0.05263157894736842
delete15,50,6,loose_gap,syncmark_alignment,19,0.6052631578947368,0.39473684210526316,0.0,0.0
delete15,50,6,loose_gap,syncmark_position_vote,19,0.4901315789473684,0.5098684210526316,0.0,0.05263157894736842
delete15,100,6,anchor_heavy,syncmark_alignment,19,0.5296052631578947,0.4703947368421053,0.0,0.10526315789473684
delete15,100,6,anchor_heavy,syncmark_position_vote,19,0.46710526315789475,0.5328947368421053,0.0,0.05263157894736842
delete15,100,6,current,syncmark_alignment,19,0.5756578947368421,0.42434210526315785,0.0,0.10526315789473684
delete15,100,6,current,syncmark_position_vote,19,0.46710526315789475,0.5328947368421053,0.0,0.05263157894736842
delete15,100,6,default,syncmark_alignment,19,0.5427631578947368,0.45723684210526316,0.0,0.05263157894736842
delete15,100,6,default,syncmark_position_vote,19,0.46710526315789475,0.5328947368421053,0.0,0.05263157894736842
delete15,100,6,loose_gap,syncmark_alignment,19,0.5592105263157895,0.4407894736842105,0.0,0.05263157894736842
delete15,100,6,loose_gap,syncmark_position_vote,19,0.46710526315789475,0.5328947368421053,0.0,0.05263157894736842
delete5,50,6,anchor_heavy,syncmark_alignment,19,0.6677631578947368,0.33223684210526316,0.0,0.0
delete5,50,6,anchor_heavy,syncmark_position_vote,19,0.6611842105263158,0.3388157894736842,0.0,0.10526315789473684
delete5,50,6,current,syncmark_alignment,19,0.6842105263157895,0.3157894736842105,0.0,0.0
delete5,50,6,current,syncmark_position_vote,19,0.6611842105263158,0.3388157894736842,0.0,0.10526315789473684
delete5,50,6,default,syncmark_alignment,19,0.6644736842105263,0.3355263157894737,0.0,0.0
delete5,50,6,default,syncmark_position_vote,19,0.6611842105263158,0.3388157894736842,0.0,0.10526315789473684
delete5,50,6,loose_gap,syncmark_alignment,19,0.6480263157894737,0.3519736842105263,0.0,0.0
delete5,50,6,loose_gap,syncmark_position_vote,19,0.6611842105263158,0.3388157894736842,0.0,0.10526315789473684
delete5,100,6,anchor_heavy,syncmark_alignment,19,0.6282894736842105,0.3717105263157895,0.0,0.0
delete5,100,6,anchor_heavy,syncmark_position_vote,19,0.569078947368421,0.430921052631579,0.0,0.0
delete5,100,6,current,syncmark_alignment,19,0.6710526315789473,0.32894736842105265,0.05263157894736842,0.15789473684210525
delete5,100,6,current,syncmark_position_vote,19,0.569078947368421,0.430921052631579,0.0,0.0
delete5,100,6,default,syncmark_alignment,19,0.6381578947368421,0.36184210526315785,0.0,0.05263157894736842
delete5,100,6,default,syncmark_position_vote,19,0.569078947368421,0.430921052631579,0.0,0.0
delete5,100,6,loose_gap,syncmark_alignment,19,0.6743421052631579,0.32565789473684215,0.05263157894736842,0.21052631578947367
delete5,100,6,loose_gap,syncmark_position_vote,19,0.569078947368421,0.430921052631579,0.0,0.0
delete5,150,6,anchor_heavy,syncmark_alignment,17,0.625,0.375,0.0,0.0
delete5,150,6,anchor_heavy,syncmark_position_vote,17,0.5808823529411765,0.4191176470588235,0.0,0.0
delete5,150,6,current,syncmark_alignment,17,0.7132352941176471,0.2867647058823529,0.058823529411764705,0.058823529411764705
delete5,150,6,current,syncmark_position_vote,17,0.5808823529411765,0.4191176470588235,0.0,0.0
delete5,150,6,default,syncmark_alignment,17,0.625,0.375,0.0,0.0
delete5,150,6,default,syncmark_position_vote,17,0.5808823529411765,0.4191176470588235,0.0,0.0
delete5,150,6,loose_gap,syncmark_alignment,17,0.7205882352941176,0.27941176470588236,0.0,0.058823529411764705
delete5,150,6,loose_gap,syncmark_position_vote,17,0.5808823529411765,0.4191176470588235,0.0,0.0
insert10,50,6,anchor_heavy,syncmark_alignment,19,0.5723684210526315,0.4276315789473685,0.0,0.10526315789473684
insert10,50,6,anchor_heavy,syncmark_position_vote,19,0.555921052631579,0.444078947368421,0.0,0.0
insert10,50,6,current,syncmark_alignment,19,0.5526315789473685,0.4473684210526315,0.0,0.0
insert10,50,6,current,syncmark_position_vote,19,0.555921052631579,0.444078947368421,0.0,0.0
